Site,Status,Tempo,Elemento_OK,Hora
LinkedIn,200,0.4702467918395996,False,2025-08-21 11:37:49
Amazon,503,0.25858163833618164,True,2025-08-21 11:37:57
Globo,200,0.22054696083068848,False,2025-08-21 11:37:58
Teste 404,Erro,,False,2025-08-21 11:38:08
Teste 500,Erro,,False,2025-08-21 11:38:09
Teste 301,200,0.2108314037322998,False,2025-08-21 11:38:09
Teste 403,Erro,,False,2025-08-21 11:38:09
Google,200,0.29186296463012695,False,2025-08-21 11:39:10
LinkedIn,200,0.29901552200317383,False,2025-08-21 11:39:16
Amazon,503,0.1835176944732666,True,2025-08-21 11:39:22
Globo,200,0.22997713088989258,False,2025-08-21 11:39:23
Teste 404,Erro,,False,2025-08-21 11:39:36
Teste 500,Erro,,False,2025-08-21 11:39:36
Teste 301,200,0.3250274658203125,False,2025-08-21 11:39:36
Teste 403,Erro,,False,2025-08-21 11:39:37
Google,200,0.2012934684753418,False,2025-08-21 11:40:37
LinkedIn,200,0.31508541107177734,False,2025-08-21 11:40:43
Amazon,503,0.2092912197113037,True,2025-08-21 11:40:50
Globo,200,0.32890820503234863,False,2025-08-21 11:40:52
Teste 404,Erro,,False,2025-08-21 11:41:02
Teste 500,Erro,,False,2025-08-21 11:41:02
Teste 301,200,0.19713807106018066,False,2025-08-21 11:41:03
Teste 403,Erro,,False,2025-08-21 11:41:03
Google,200,0.2046184539794922,False,2025-08-21 11:42:03
LinkedIn,200,0.303788423538208,False,2025-08-21 11:42:09
Amazon,503,0.1912229061126709,True,2025-08-21 11:42:15
Globo,200,0.2288060188293457,False,2025-08-21 11:42:18
Teste 404,Erro,,False,2025-08-21 11:42:53
Teste 500,Erro,,False,2025-08-21 11:42:54
Teste 301,200,0.21794891357421875,False,2025-08-21 11:42:54
Teste 403,Erro,,False,2025-08-21 11:42:54
Google,200,0.222853422164917,False,2025-08-21 11:43:54
LinkedIn,200,0.4132394790649414,False,2025-08-21 11:44:01
Amazon,503,0.20548796653747559,True,2025-08-21 11:44:07
Globo,200,0.1184546947479248,False,2025-08-21 11:44:09
Teste 404,Erro,,False,2025-08-21 11:44:26
Teste 500,Erro,,False,2025-08-21 11:44:26
Teste 301,200,0.19907331466674805,False,2025-08-21 11:44:27
Teste 403,Erro,,False,2025-08-21 11:44:27
Google,200,0.20023632049560547,False,2025-08-21 11:45:27
LinkedIn,200,0.30133676528930664,False,2025-08-21 11:45:33
Amazon,503,0.196732759475708,True,2025-08-21 11:45:40
Globo,200,0.26745057106018066,False,2025-08-21 11:45:41
Teste 404,Erro,,False,2025-08-21 11:45:51
Teste 500,Erro,,False,2025-08-21 11:45:51
Teste 301,200,0.2928156852722168,False,2025-08-21 11:45:51
Teste 403,Erro,,False,2025-08-21 11:45:52
Google,200,0.19323348999023438,False,2025-08-21 11:46:52
LinkedIn,200,0.3874051570892334,False,2025-08-21 11:46:58
Amazon,503,0.17708134651184082,True,2025-08-21 11:47:04
Globo,200,0.1608583927154541,False,2025-08-21 11:47:06
Teste 404,Erro,,False,2025-08-21 11:47:16
Teste 500,Erro,,False,2025-08-21 11:47:17
Teste 301,200,0.23872661590576172,False,2025-08-21 11:47:17
Teste 403,Erro,,False,2025-08-21 11:47:17
Google,200,0.1963961124420166,False,2025-08-21 11:48:17
LinkedIn,200,0.6388802528381348,False,2025-08-21 11:48:23
Amazon,503,0.21658635139465332,True,2025-08-21 11:48:30
Globo,200,0.2635617256164551,False,2025-08-21 11:48:32
Teste 404,Erro,,False,2025-08-21 11:48:43
Teste 500,Erro,,False,2025-08-21 11:48:44
Teste 301,200,0.22739148139953613,False,2025-08-21 11:48:45
Teste 403,Erro,,False,2025-08-21 11:48:45
Google,200,0.20308828353881836,False,2025-08-21 11:49:45
LinkedIn,200,0.33530688285827637,False,2025-08-21 11:49:51
Amazon,503,0.40183329582214355,True,2025-08-21 11:49:58
Globo,200,0.11769652366638184,False,2025-08-21 11:50:00
Teste 404,Erro,,False,2025-08-21 11:50:05
Teste 500,Erro,,False,2025-08-21 11:50:05
Teste 301,200,0.21945643424987793,False,2025-08-21 11:50:06
Teste 403,Erro,,False,2025-08-21 11:50:06
Google,200,0.18181395530700684,False,2025-08-21 11:51:06
LinkedIn,200,0.35455942153930664,False,2025-08-21 11:51:12
Amazon,503,0.2361438274383545,True,2025-08-21 11:51:19
Globo,200,0.3208644390106201,False,2025-08-21 11:51:21
Teste 404,Erro,,False,2025-08-21 11:51:31
Teste 500,Erro,,False,2025-08-21 11:51:31
Teste 301,200,0.19390177726745605,False,2025-08-21 11:51:32
Teste 403,Erro,,False,2025-08-21 11:51:32
Google,200,0.18572473526000977,False,2025-08-21 11:52:32
LinkedIn,200,0.30813097953796387,False,2025-08-21 11:52:38
Amazon,503,0.19434523582458496,True,2025-08-21 11:52:45
Globo,200,0.12116789817810059,False,2025-08-21 11:52:47
Teste 404,Erro,,False,2025-08-21 11:52:59
Teste 500,Erro,,False,2025-08-21 11:52:59
Teste 301,200,0.20131468772888184,False,2025-08-21 11:52:59
Teste 403,Erro,,False,2025-08-21 11:53:00
Google,200,0.2151179313659668,False,2025-08-21 11:54:00
LinkedIn,200,0.4053361415863037,False,2025-08-21 11:54:06
Amazon,503,0.2401256561279297,True,2025-08-21 11:54:13
Globo,200,0.12233281135559082,False,2025-08-21 11:54:15
Teste 404,Erro,,False,2025-08-21 11:54:26
